date_time,weather_id,city,season,temperature_c,humidity,rain_mm,wind_speed_kmh,visibility_m,weather_condition,air_pressure_hpa
12/01/2024 01:00,7799,London,Unknown,17.59458151555554,80,17.1451259286267,45,4430,Rain,1010.1786864191292
07/03/2024 21:02,5274,London,Summer,38.138247238341066,68,6.4912605519364845,43,1697,Fog,988.200572571712
16/04/2024 23:20,5432,London,Winter,24.90289972374764,66,0.5807551158259301,6,9552,Storm,995.836457183809
15/01/2024 20:04,5271,London,Unknown,9.037985416874948,53,3.0985945157205577,51,6603,Fog,984.5443533170248
25/01/2024 11:29,7582,London,Autumn,23.2397351193744,58,3.03277374878458,23,2709,Clear,993.1760792006417
03/03/2024 11:57,7018,London,Autumn,11.344348785150668,83,6.960396806002434,35,8846,Snow,1007.683004782865
04/05/2024 05:16,7144,London,Spring,29.752461637924664,30,8.023874628737566,24,8111,Clear,982.8155337143928
29/05/2024 18:11,8731,London,Spring,25.007951283875546,53,8.373679020858283,49,3332,Rain,1007.659187407406
30/07/2024 08:10,7109,London,Autumn,21.667310511429815,51,6.460146866724788,58,50000,Rain,1007.4806461817034
15/04/2024 19:30,5736,London,Spring,25.893859947623294,69,22.82362326502053,42,751,Rain,1002.2917521416492
15/03/2024 06:30,8536,London,Unknown,13.89418348111717,80,7.387020972576968,25,9198,Rain,999.82604231627
27/12/2024 22:01,6234,London,Spring,5.9844085661645465,32,1.5495684720624592,27,943,Snow,1001.133877578048
05/06/2024 23:29,6489,London,Winter,28.071607059895733,87,26.82891807103184,16,1072,Clear,1005.7569868311646
29/06/2024 18:03,7232,London,Summer,27.337406673173845,25,2.93514281557988,53,50000,Rain,995.566495342324
19/07/2024 03:26,8469,London,Unknown,9.24219061700786,38,6.136470798993079,47,4611,Storm,1009.8815016042058
21/07/2024 04:34,8757,London,Winter,24.074093303321423,27,3.782770302846174,14,3595,Fog,998.1961145820176
06/12/2024 08:40,5868,London,Spring,9.691967402630796,42,12.88312874056658,47,50000,Clear,1007.5343269708956
14/07/2024 23:33,6553,London,Unknown,34.17374239301746,44,3.5777249289770445,41,7924,Clear,981.6696406137006
24/07/2024 21:23,7442,London,Unknown,25.966932381748396,37,11.550530066427124,22,9898,Storm,999.0732330414892
09/12/2024 18:44,5513,London,Autumn,12.20505607523504,62,2.8382551710763693,9,2720,Fog,998.136222372788
26/06/2024 06:09,7454,London,Winter,10.49245186094246,48,8.266040013045371,58,5255,Rain,1016.8578009575252
17/03/2024 05:40,8944,London,Winter,7.615719561436318,31,11.957659370652715,4,5987,Clear,990.3650974517644
25/06/2024 21:16,7590,London,Unknown,25.0422817478252,55,17.11738488665764,8,7374,Storm,988.197680560464
17/06/2024 16:23,6503,London,Spring,22.0414977156228,82,7.017693707805152,32,9163,Snow,996.4143178725049
16/04/2024 18:33,6552,London,Spring,36.8863041614357,29,2.490820972070337,46,4898,Clear,1007.3474234004764
12/11/2024 17:13,5651,London,Autumn,25.897872642856235,89,0.5357110103138973,43,9862,Snow,1011.4373172749728
08/05/2024 04:07,6875,London,Autumn,27.62739645639357,75,11.146039090120832,26,713,Rain,996.0650189890564
11/04/2024 23:55,6034,London,Autumn,18.88181961586773,34,9.50642301952124,2,3893,Clear,1003.7611149543836
29/05/2024 14:37,6329,London,Winter,14.140478020667963,42,20.623218227801598,51,846,Storm,994.4653797091368
16/04/2024 08:48,6645,London,Spring,23.960697637775635,86,14.900142985232431,27,6566,Fog,1009.262808781765
